agency,id,lat,lon,name
GIR,38065,44.930576,-0.278006,FRONSAC - Gaby
GIR,38064,44.936005,-0.280186,FRONSAC - Tourmalin
GIR,38066,44.939777,-0.283282,FRONSAC - Le Chêne de Gombaud
GIR,38069,44.946370,-0.289088,ST AIGNAN - Vincent
GIR,38071,44.948788,-0.297720,ST AIGNAN - Gros Jean
GIR,38074,44.952900,-0.306149,VILLEGOUGE - Terrachère
GIR,38080,44.957817,-0.306641,VILLEGOUGE - Canet
GIR,38067,44.964600,-0.306982,VILLEGOUGE - Le Basque
GIR,38073,44.966488,-0.308044,VILLEGOUGE - Bourg
GIR,38063,44.967720,-0.308740,VILLEGOUGE - Gendarmerie
GIR,38072,44.969055,-0.314944,VILLEGOUGE - Colin
GIR,38070,44.970220,-0.318308,VILLEGOUGE - Perey
GIR,38079,44.971420,-0.321737,VILLEGOUGE - Eymon
GIR,38068,44.976550,-0.326293,VILLEGOUGE - Marot
GIR,38078,44.987320,-0.332818,VERAC - Les Gaussens
GIR,38077,44.990673,-0.339236,VERAC - Centre
GIR,38076,45.000217,-0.354823,VERAC - Brandet
GIR,38075,45.007530,-0.352587,MOUILLAC - Centre
GIR,38088,45.012768,-0.353256,MOUILLAC - La Mahelle
GIR,38085,45.016000,-0.343393,ST GENES DE F. - Pac de Sol
GIR,38082,45.020054,-0.337030,ST GENES DE F. - Gaudin
GIR,38087,45.018917,-0.324705,PERISSAC - Bourg
GIR,38084,45.018700,-0.314448,PERISSAC - Monument Sidi Brahim
GIR,38083,45.020980,-0.309790,PERISSAC - La Pradelle
GIR,38081,45.021350,-0.305004,PERISSAC - Jean Roux
GIR,38086,45.022890,-0.300088,PERISSAC - La Gare
GIR,47128,44.839950,-0.559862,Stalingrad
GIR,47227,44.842490,-0.556006,Jardin Botanique
GIR,37153,44.842310,-0.549814,Le Rouzic
GIR,35632,44.841633,-0.546465,Boulevard Trarieux
GIR,36469,44.846024,-0.510219,Floirac Dravemont
GIR,38105,44.840780,-0.494781,TRESSES - Le Canon
GIR,38107,44.838740,-0.489482,TRESSES - Mélac
GIR,38097,44.839810,-0.469740,TRESSES - Av. Desclaud
GIR,38102,44.847458,-0.471247,TRESSES - Av. des Trois Lieues
GIR,38101,44.849304,-0.462677,TRESSES - Bourg
GIR,38109,44.850990,-0.457013,TRESSES - Le Verger
GIR,38100,44.850746,-0.454581,TRESSES - Hameau de Fabre
GIR,38127,44.850640,-0.447691,POMPIGNAC - Parc de Cadouin
GIR,38098,44.850500,-0.439002,POMPIGNAC - Mairie
GIR,38123,44.850967,-0.434748,POMPIGNAC - Les Prés de l'Eglise
GIR,38099,44.849370,-0.429375,POMPIGNAC - Hameau de la Laurence
GIR,38125,44.845490,-0.417886,POMPIGNAC - Le Vigneau
GIR,38091,44.842064,-0.410285,SALLEBOEUF - Salomon
GIR,38111,44.840378,-0.401685,SALLEBOEUF - Fontaine d'Albion
GIR,38094,44.842300,-0.397902,SALLEBOEUF - Bourg
GIR,38095,44.841152,-0.386528,SALLEBOEUF - Graveyron
GIR,38110,44.841770,-0.375499,SALLEBOEUF - Pontac
GIR,38112,44.845090,-0.363630,SALLEBOEUF - Les Quatre Ponts
GIR,38118,44.847000,-0.355144,ST GERMAIN DU P. - Salle
GIR,38115,44.848106,-0.347340,ST GERMAIN DU P. - Candelon
GIR,38113,44.846188,-0.332277,ST GERMAIN DU P. - Beaupied
GIR,38117,44.848000,-0.329732,ST GERMAIN DU P. - Cité Pt Bois
GIR,38116,44.856396,-0.322998,ST GERMAIN DU P. - Foyer Communal
GIR,38124,44.853455,-0.316343,ST GERMAIN DU P. - Le Breton
GIR,38126,44.849247,-0.316999,ST GERMAIN DU P. - Cramillan
GIR,38096,44.844270,-0.303060,NERIGEAN - Damanieu
GIR,38114,44.842007,-0.292128,NERIGEAN - Cave Coopérative
GIR,38104,44.841873,-0.288648,NERIGEAN - Eglise
GIR,38108,44.839687,-0.281091,NERIGEAN - Jean Bordes
GIR,38106,44.838886,-0.276264,NERIGEAN - Croix de l'Espellet
GIR,38089,44.847553,-0.267029,GENISSAC - Peyfaure
GIR,38122,44.858624,-0.256973,GENISSAC - Bourg
GIR,38093,44.848473,-0.224680,MOULON - Gueyrosse
GIR,38121,44.846634,-0.220369,MOULON - Bourg
GIR,38090,44.836624,-0.210926,MOULON - Genequin
GIR,38120,44.829170,-0.187262,BRANNE - Bourg
GIR,38103,44.832020,-0.472271,TRESSES - La Belle Etoile
GIR,35594,44.840490,-0.553778,Collège L. Lenoir
GIR,38138,44.828050,-0.461899,CARIGNAN BX - La Chausse
GIR,38133,44.825317,-0.451378,FARGUES ST H. - Les Bons Enfants
GIR,38130,44.824223,-0.447489,FARGUES ST H. - Mairie
GIR,38132,44.824554,-0.440145,FARGUES ST H. - La Relle
GIR,38129,44.825188,-0.430579,FARGUES ST H. - Maison Rouge
GIR,38150,44.829193,-0.414731,BONNETAN - Roux
GIR,38128,44.832220,-0.406414,SALLEBOEUF - La Planteyre
GIR,38131,44.831074,-0.397454,SALLEBOEUF - Le Petit Cos
GIR,38143,44.831303,-0.387657,CAMARSAC - Fausse Nègre
